age,work_industry,job_title,annual_salary,currency,country,state_(US),city,overall_work_exp.,fieldwork _exp.,level_of_education,gender,race
25-34,Business/Consulting/Administrative Work,Associate Product Manager,63000.0,USD,USA,Ohio,Cleveland,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Support Manager,43000.0,USD,USA,New York,Rochester,11 - 20 years,5 - 7 years,Master's degree,Woman,White
35-44,Nonprofits,Senior Associate,95000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,PhD,Woman,White
25-34,Business/Consulting/Administrative Work,"Manager, Medical Writing",105000.0,USD,USA,Pennsylvania,currently remote,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Others/Not Correctly Specified,Archaeologist,48500.0,USD,USA,Illinois,Chicago,5 - 7 years,5 - 7 years,Master's degree,Woman,White
25-34,Education,Teacher,45000.0,USD,USA,Kansas,Western KS,5 - 7 years,5 - 7 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Project Engineer ,70000.0,USD,USA,Colorado,Denver,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Tax Senior II,70000.0,USD,USA,Texas,Houston,5 - 7 years,5 - 7 years,College degree,Woman,White
45-54,Business/Consulting/Administrative Work,Senior Data Scientist,135400.0,USD,USA,New York,Brewster,11 - 20 years,11 - 20 years,PhD,Woman,White
25-34,Medical/Health Care,Program Manager,115000.0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Master's degree,Woman,White
45-54,Art/Design/Media,managing editor,103000.0,USD,USA,District of Columbia,"Washington, DC",21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Marketing Manager,62000.0,USD,USA,Mississippi,Starkville,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,External communications specialist,75000.0,USD,USA,California,Los Angeles,11 - 20 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
35-44,Government/Public Administration,economist,103600.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,2 - 4 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Marketing advisor,69000.0,USD,USA,California,Lake Tahoe,5 - 7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
45-54,Education,Grants Accountant Sr.,62000.0,USD,USA,West Virginia,Morgantown,21 - 30 years,8 - 10 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Sourcing Manager,85200.0,USD,USA,Wisconsin,Milwaukee ,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Biotechnology/Pharma/Biology,post doctoral fellow,48000.0,USD,USA,Texas,Austin,5 - 7 years,5 - 7 years,PhD,Woman,White
35-44,Accounting/Banking/Finance,Associate General Counsel,96000.0,USD,USA,Maine,Kennebunk,8 - 10 years,8 - 10 years,PhD,Woman,White
18-24,Agriculture/Forestry,Research Assistant,39600.0,USD,USA,Washington,Shelton,2 - 4 years,2 - 4 years,College degree,Woman,White
55-64,Engineering/Manufacturing/Construction,Contracts Administrator,34000.0,USD,USA,Pennsylvania,York,31 - 40 years,1 year or less,College degree,Woman,White
35-44,Business/Consulting/Administrative Work,Vice President ,116400.0,USD,USA,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Insurance,Data Governance ,130000.0,USD,USA,Kentucky,Louisville ,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing/IT/Tech,Product Manager ,120000.0,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,Master's degree,Woman,Black or African American
35-44,Business/Consulting/Administrative Work,Sr. Consultant,77000.0,USD,USA,New York,New York City,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Computing/IT/Tech,Diversity equity and inclusion associate ,67000.0,USD,USA,Virginia,Richmond,5 - 7 years,2 - 4 years,Master's degree,Woman,White
25-34,Nonprofits,Education and Programs Manager,38760.0,USD,USA,Indiana,Fort Wayne,5 - 7 years,5 - 7 years,Master's degree,Woman,White
55-64,Education,"Coordinator, Academic Advising",38000.0,USD,USA,Pennsylvania,Pittsburgh,31 - 40 years,31 - 40 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Vice President of Employee Services,149160.0,USD,USA,Minnesota,Rochester,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,"Senior Manager, Internal Communications",125000.0,USD,USA,New York,Remote,11 - 20 years,11 - 20 years,High School,Woman,White
35-44,Business/Consulting/Administrative Work,Sr HRBP,160000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,White
55-64,Education,Associate Dean,118000.0,USD,USA,New York,Buffalo,31 - 40 years,31 - 40 years,PhD,Woman,Black or African American
25-34,Medical/Health Care,Digital copywriter,81120.0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Sales,Facilities Coordinator ,560000.0,USD,USA,North Carolina,Winston Salem,1 year or less,1 year or less,College degree,Woman,White
25-34,Medical/Health Care,LPN,63000.0,USD,USA,New York,Syracuse,11 - 20 years,11 - 20 years,High School,Woman,Another option not listed here or prefer not to answer
25-34,Education,Research Associate,69000.0,USD,USA,Colorado,Golden,5 - 7 years,1 year or less,PhD,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Education,Instructor,47000.0,USD,USA,Oklahoma,Miami,21 - 30 years,11 - 20 years,Master's degree,Woman,Native American or Alaska Native
45-54,Art/Design/Media,Sales Support Administrator,53000.0,USD,USA,Georgia,Suwanee,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Law,Associate Attorney,150000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Utilities/Telecommunications,Sales Coordinator,45000.0,USD,USA,Maryland,Columbia,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Project Coordinator,72000.0,USD,USA,New Jersey,Princeton,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Data analyst,79000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,2 - 4 years,Master's degree,Man,White
35-44,Education,Senior Prospect Research Associate,49100.0,USD,USA,Pennsylvania,Pittsburgh,11 - 20 years,5 - 7 years,College degree,Woman,White
45-54,Computing/IT/Tech,Employment Specialist,46800.0,USD,USA,Oregon,Portland,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Government/Public Administration,Supervisory biomedical engineer,144128.0,USD,USA,Maryland,White Oak,8 - 10 years,5 - 7 years,PhD,Woman,White
25-34,Nonprofits,Animal Care Worker,26000.0,USD,USA,Virginia,Onley,11 - 20 years,5 - 7 years,High School,Woman,White
25-34,Business/Consulting/Administrative Work,Assistant Branch Manager,56000.0,USD,USA,Missouri,St. Louis,2 - 4 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Medical/Health Care,Senior Decision Support Analyst,85000.0,USD,USA,Mississippi,Corinth,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
25-34,Law,General Attorney,107146.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Tech. Admin Asst./Office Coordinator,47195.0,USD,USA,Wisconsin,Little Chute,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Business/Consulting/Administrative Work,Office Manager/COO,87060.0,USD,USA,California,San Francisco,31 - 40 years,8 - 10 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Senior Manager,130000.0,USD,USA,Florida,Miami Beach,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Business Manager and Client Service Officer,200000.0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Art/Design/Media,Graphics Supervisor,28000.0,USD,USA,Texas,Longview,8 - 10 years,8 - 10 years,College degree,Woman,White
55-64,Education,Academic Advisor 3,50000.0,USD,USA,Utah,Taylorsville,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,Student Affairs Professional II,42500.0,USD,USA,Georgia,Athens,5 - 7 years,5 - 7 years,Master's degree,Woman,White
25-34,Computing/IT/Tech,Team Manager,74618.0,USD,USA,California,Berkeley ,11 - 20 years,5 - 7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Education,Team Lead,92000.0,USD,USA,California,Oakland,11 - 20 years,8 - 10 years,PhD,,White
25-34,Medical/Health Care,Admin Assistant,38500.0,USD,USA,Kansas,Wichita,8 - 10 years,8 - 10 years,Master's degree,Man,White
45-54,Insurance,Purchasing Card Program Administrator,63000.0,USD,USA,Virginia,Richmond,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Art/Design/Media,UX team lead,100000.0,USD,USA,Michigan,Detroit,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Government/Public Administration,Legislative Director ,80000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,5 - 7 years,College degree,Woman,Asian or Asian American
35-44,Nonprofits,Executive Assistant,71000.0,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,5 - 7 years,Master's degree,Woman,White
45-54,Nonprofits,"Vice President, Grants and Contracts",180000.0,USD,USA,District of Columbia,"Washington, DC",31 - 40 years,21 - 30 years,Master's degree,Woman,White
35-44,Medical/Health Care,Pathologists' Assistant,117000.0,USD,USA,California,Oakland,11 - 20 years,1 year or less,Master's degree,Woman,Asian or Asian American
35-44,Transport/Logistics,Technical Writer,73000.0,USD,USA,Illinois,Chicago,21 - 30 years,2 - 4 years,Master's degree,Woman,White
35-44,Computing/IT/Tech,IT Security Analyst ,96000.0,USD,USA,Arkansas,Little Rock,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Government/Public Administration,Legal Secretary ,48500.0,USD,USA,Arizona,Phoenix,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Trader,80000.0,USD,USA,New York,Purchase,21 - 30 years,21 - 30 years,College degree,Man,White
25-34,Transport/Logistics,Business Development Manager,57340.0,USD,USA,Virginia,Arlington,5 - 7 years,2 - 4 years,College degree,Woman,Black or African American
25-34,Accounting/Banking/Finance,Senior Auditor,100000.0,USD,USA,Nebraska,Omaha,5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Nonprofits,Director (fundraising),98000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Hospitality/Events/Entertainment,HR & Facilities Director,68000.0,USD,USA,Florida,Tampa,31 - 40 years,11 - 20 years,Master's degree,Woman,White
25-34,Art/Design/Media,Client Relations Assistant,36000.0,USD,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,Master's degree,Woman,White
35-44,Sales,Design Manager,46000.0,USD,USA,New Hampshire,Nashua,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofits,Communications Coordinator,42432.0,USD,USA,Maine,Portland,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Department Head,70000.0,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Nonprofits,Grants Manager,57712.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,5 - 7 years,College degree,Man,White
35-44,Computing/IT/Tech,Business intelligence,114500.0,USD,USA,North Carolina,-,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Senior Statistician,78542.0,USD,USA,New York,Rochester,11 - 20 years,2 - 4 years,Master's degree,Woman,White
25-34,Nonprofits,"Sr Specialist, Application Support ",90000.0,USD,USA,Connecticut,Fairfield,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Business/Consulting/Administrative Work,Managing Director,150000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Senior Research Analyst,63000.0,USD,USA,Missouri,Columbia,11 - 20 years,5 - 7 years,PhD,Woman,White
45-54,Education,Sr Donor Relations Coordinator,44000.0,USD,USA,Missouri,Columbia,21 - 30 years,11 - 20 years,College degree,Other or prefer not to answer,White
35-44,Nonprofits,Manager,71500.0,USD,USA,Illinois,Chicago,11 - 20 years,5 - 7 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
55-64,Government/Public Administration,Lean Six Sigma Specialist,60000.0,USD,USA,,Midwest area,31 - 40 years,5 - 7 years,College degree,Other or prefer not to answer,White
25-34,Engineering/Manufacturing/Construction,Mechanical Engineer,92500.0,USD,USA,California,Sacramento,5 - 7 years,5 - 7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Medical/Health Care,Senior Internal Auditor,95000.0,USD,USA,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Nonprofits,Manager of Education,50000.0,USD,USA,Arizona,Scottsdale,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,Executive Assistant,54723.0,USD,USA,Michigan,Ann Arbor,11 - 20 years,2 - 4 years,College degree,Woman,White
25-34,Hospitality/Events/Entertainment,Advertising/Sales Promotion Coordinator,43680.0,USD,USA,Minnesota,Minneapolis,5 - 7 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,Business/Consulting/Administrative Work,Director of Operations ,70000.0,USD,USA,Colorado,Denver,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Art/Design/Media,Freelance Writer,43000.0,USD,USA,Tennessee,Nashville,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Assistant Project Manafer,85000.0,USD,USA,Massachusetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Nonprofits,Asst. Program Director & Volunteer Coordinator,43680.0,USD,USA,Minnesota,St. Paul,2 - 4 years,2 - 4 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Application Trainer Advanved ,49000.0,USD,USA,Kentucky,Elizabethtown ,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Nonprofits,Community Manager,56238.0,USD,USA,Massachusetts,Boston,31 - 40 years,21 - 30 years,High School,Woman,White
35-44,Computing/IT/Tech,Senior Content Editor,50000.0,USD,USA,Minnesota,St. Paul,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Others/Not Correctly Specified,Purchasing Manager - Apparel,90000.0,USD,USA,Oregon,Ashland,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,Facility Security Officer,100000.0,USD,USA,Virginia,Vienna,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,Training Specialist,68000.0,USD,USA,Washington,Seattle,11 - 20 years,5 - 7 years,College degree,Woman,Middle Eastern or Northern African
45-54,Government/Public Administration,Accountant,82700.0,USD,USA,Oregon,Portland,11 - 20 years,8 - 10 years,Master's degree,Man,Native American or Alaska Native
35-44,Government/Public Administration,Senior Research Analyst,84500.0,USD,USA,Minnesota,Saint Paul,8 - 10 years,8 - 10 years,PhD,Woman,White
55-64,Medical/Health Care,Administrator,104000.0,USD,USA,Maine,Portland,31 - 40 years,31 - 40 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,Accounting/Banking/Finance,Consultant,98000.0,USD,USA,Texas,Austin,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Education,Human Resources Specialist,49000.0,USD,USA,Pennsylvania,York,5 - 7 years,2 - 4 years,College degree,Woman,White
55-64,Government/Public Administration,Actuary,170500.0,USD,USA,District of Columbia,"Washington, DC",31 - 40 years,31 - 40 years,College degree,Woman,White
35-44,Business/Consulting/Administrative Work,Marketing and Communications Director,66500.0,USD,USA,Minnesota,Saint Paul,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Operations Engineer,130000.0,USD,USA,California,San Francisco,5 - 7 years,5 - 7 years,College degree,Woman,White
45-54,Education,Teacher,93415.0,USD,USA,Illinois,East Moline,21 - 30 years,21 - 30 years,Master's degree,Woman,White
45-54,Government/Public Administration,Librarian,61032.0,USD,USA,North Dakota,Bismarck,21 - 30 years,21 - 30 years,Master's degree,Woman,White
35-44,Nonprofits,Associate Director of Development,90000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Law,Senior Corporate Counsel,167000.0,USD,USA,Tennessee,Nashville,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Accounting/Banking/Finance,Senior Financial Analyst,80000.0,USD,USA,Wisconsin,Watertown,21 - 30 years,21 - 30 years,Master's degree,Woman,White
35-44,Utilities/Telecommunications,Director,152000.0,USD,USA,Iowa,Des Moines,11 - 20 years,8 - 10 years,College degree,Man,White
25-34,Law,Paralegal,43680.0,USD,USA,Maryland,Silver Spring,5 - 7 years,2 - 4 years,Master's degree,Woman,White
45-54,Computing/IT/Tech,Software Engineer IV,135200.0,USD,USA,Oregon,Potland,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Law,Appellate Judicial Law Clerk,68000.0,USD,USA,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Medical/Health Care,Research Scientist,72000.0,USD,USA,Massachusetts,Cambridge,5 - 7 years,5 - 7 years,Master's degree,Non-binary,Native American or Alaska Native
25-34,Engineering/Manufacturing/Construction,Field service technician ,66500.0,USD,USA,Rhode Island,Providence,11 - 20 years,2 - 4 years,College degree,Man,White
35-44,Business/Consulting/Administrative Work,HR manager,57288.0,USD,USA,Pennsylvania,Lansdale,11 - 20 years,2 - 4 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Project Engineer,92000.0,USD,USA,New Jersey,Edison,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
35-44,Business/Consulting/Administrative Work,Marketing Manager,51000.0,USD,USA,North Carolina,"Asheville, NC",11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Social Work,Adolescent Social Worker,65500.0,USD,USA,New York,Brooklyn,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Education,Assistant Director - Medical Library,67000.0,USD,USA,Indiana,Indianapolis,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Education,University library technician ,48205.0,USD,USA,North Carolina,Chapel Hill,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
35-44,Medical/Health Care,Senior Pharmacy Technician,39000.0,USD,USA,Nebraska,Omaha,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,Special education paraprofessional,22000.0,USD,USA,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Government/Public Administration,Program Coordinator,61710.0,USD,USA,Colorado,Denver,2 - 4 years,5 - 7 years,Master's degree,Woman,Black or African American
25-34,Computing/IT/Tech,Senior Software Dev Engineer,215358.0,USD,USA,Washington,Seattle,8 - 10 years,8 - 10 years,College degree,Man,White
25-34,Others/Not Correctly Specified,Senior Editor ,74000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Hospitality/Events/Entertainment,Content Development Editor,42723.0,USD,USA,Ohio,Toledo,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Technical Recruiter ,81600.0,USD,USA,Maryland,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Insurance,Underwriter ,104000.0,USD,USA,New Jersey,Jersey City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Medical/Health Care,"Program Coordinator, Accreditation & Regulatory Compliance",80000.0,USD,USA,New York,New York City,21 - 30 years,2 - 4 years,College degree,Woman,Black or African American
25-34,Transport/Logistics,Communications Specialist,70000.0,USD,USA,Oregon,Portland,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,field representative,65557.0,USD,USA,,Minneapolis,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Law,Partner,320000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Education,English Teacher ,48000.0,USD,USA,California,Thousand Oaks,2 - 4 years,1 year or less,College degree,Woman,White
25-34,Education,Director of Product,95000.0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Art/Design/Media,Art Director,102000.0,USD,USA,New York,New York City,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Technical Support Specialist,53955.0,USD,USA,Colorado,Lakewood,11 - 20 years,5 - 7 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,Senior Chemist,75000.0,USD,USA,Ohio,Cleveland,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Senior Associate ,72500.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Education,Health Occupations Teacher,68000.0,USD,USA,Illinois,Peoria,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Law,Legal assistant ,65000.0,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Insurance,Senior Quality Assurance Consultant,67800.0,USD,USA,Connecticut,Hartford,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Computing/IT/Tech,Business Consultant,98000.0,USD,USA,Colorado,Denver,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,Press Secretary,85000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,2 - 4 years,Master's degree,Woman,White
55-64,Business/Consulting/Administrative Work,Senior Vice President of Engagement,140000.0,USD,USA,Illinois,Chicago,31 - 40 years,21 - 30 years,Master's degree,Woman,White
25-34,Sales,Receptionist,26000.0,USD,USA,Florida,Tampa,2 - 4 years,1 year or less,College degree,Woman,White
45-54,Government/Public Administration,Librarian,67000.0,USD,USA,Texas,Austin,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Government/Public Administration,R&D Engineer II,118392.0,USD,USA,New Mexico,Los Alamos,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Nonprofits,Development Operations Specialist,60000.0,USD,USA,Massachusetts,Boston,8 - 10 years,5 - 7 years,College degree,Man,White
35-44,Art/Design/Media,Creative/Design Manager,72000.0,USD,USA,Wisconsin,Madison,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Engineering/Manufacturing/Construction,Staff Environmental Engineer (EIT),62500.0,USD,USA,Delaware,Wilmington,5 - 7 years,5 - 7 years,College degree,Woman,Asian or Asian American
25-34,Business/Consulting/Administrative Work,Senior consultant,85000.0,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Medical/Health Care,Medical Assistant Team Lead,49920.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,1 year or less,Master's degree,Man,White
25-34,Business/Consulting/Administrative Work,Marketing Manager,72000.0,USD,USA,Massachusetts,Burlington,5 - 7 years,5 - 7 years,College degree,Woman,White
65 or over,Education,Administrative Assistant III,47250.0,USD,USA,Tennessee,Nashville,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Education,Assistant professor,70000.0,USD,USA,Washington,Bellingham,5 - 7 years,5 - 7 years,PhD,Man,White
45-54,Medical/Health Care,Registered nurse,108000.0,USD,USA,Washington,Olympia,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Government/Public Administration,City Research Scientist,86000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,PhD,Woman,White
25-34,Art/Design/Media,Business Intelligence Analyst,67224.0,USD,USA,Illinois,Chicago,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Application Trainer Advanced ,49000.0,USD,USA,Kentucky,Elizabethtown ,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Process Development Supervisor ,84562.0,USD,USA,Pennsylvania,"Wayne, PA",11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Sales,Medical Device Sales Rep,50000.0,USD,USA,California,San Francisco,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Medical/Health Care,Product Manager,111000.0,USD,USA,North Carolina,Cary,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Manager,105000.0,USD,USA,Illinois,Chicago,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Environmental Engineer,95000.0,USD,USA,Texas,Houston-Galveston-Brazoria area,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Biotechnology/Pharma/Biology,"Associate director, clinical",190000.0,USD,USA,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,PhD,Woman,White
45-54,Government/Public Administration,Senior Planner,100000.0,USD,USA,Oregon,Hillsboro ,31 - 40 years,11 - 20 years,Master's degree,Woman,White
25-34,Computing/IT/Tech,Software Engineer,139000.0,USD,USA,New York,New York City,8 - 10 years,5 - 7 years,Master's degree,Woman,White
35-44,Transport/Logistics,Talent Acquisition Specialist,70000.0,USD,USA,Wisconsin,Madison,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Medical/Health Care,Systems Analyst,43000.0,USD,USA,Illinois,southern IL,8 - 10 years,5 - 7 years,College degree,Man,White
25-34,Business/Consulting/Administrative Work,Director,105000.0,USD,USA,Colorado,Denver,5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Business/Consulting/Administrative Work,Senior Biologist,80000.0,USD,USA,Colorado,Lakewood,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Law,Senior Event Planner,54500.0,USD,USA,Virginia,Richmond,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Business/Consulting/Administrative Work,Web Analyst,87500.0,USD,USA,Maryland,Bethesda,21 - 30 years,11 - 20 years,Master's degree,Man,White
35-44,Sales,Project Manager,64890.0,USD,USA,Minnesota,Twin Cities,11 - 20 years,11 - 20 years,College degree,Woman,White
18-24,Engineering/Manufacturing/Construction,Field Service Engineer ,70000.0,USD,USA,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Computing/IT/Tech,Principal Instructional Designer,110900.0,USD,USA,Pennsylvania,Philadelphia suburbs,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Education,Data Analyst,65000.0,USD,USA,Colorado,Northern Front Range,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Social Work,Counselor ,39000.0,USD,USA,Illinois,Alton ,8 - 10 years,2 - 4 years,Master's degree,Woman,White
35-44,Computing/IT/Tech,Lead Data Engineer,135000.0,USD,USA,Wisconsin,Milwaukee,11 - 20 years,8 - 10 years,Master's degree,Woman,White
55-64,Government/Public Administration,General Manager,185700.0,USD,USA,California,BIG BEAR CITY,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Sales,Account Executive,104000.0,USD,USA,Illinois,Chicago,11 - 20 years,5 - 7 years,Master's degree,Man,Black or African American
25-34,Computing/IT/Tech,Marketing Manager,105000.0,USD,USA,New York,Boston,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Computing/IT/Tech,Head of Customer Experience,115000.0,USD,USA,Oregon,Portland,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Agriculture/Forestry,Private Kennel Manager,55000.0,USD,USA,Texas,Dripping Springs,8 - 10 years,5 - 7 years,College degree,Woman,White
